session_id,date,street,area,hours_parked,rate_per_hour,payment_method,vehicle_type,revenue,month,day_of_week,is_weekend,avg_temperature_c,snowfall_cm,weather_condition,snow_impact
1001,2025-01-01,Churchill Square,Churchill Square,1.0,1.0,Debit Card,SUV,1.0,2025-01,Wednesday,0,-3,0,Clear/Cloudy,No Snow
1002,2025-01-01,Duckworth Street,Downtown,1.0,1.75,Mobile App,Truck,1.75,2025-01,Wednesday,0,-3,0,Clear/Cloudy,No Snow
1003,2025-01-01,Prescott Street,Downtown,1.0,1.75,Credit Card,Car,1.75,2025-01,Wednesday,0,-3,0,Clear/Cloudy,No Snow
1004,2025-01-01,Prescott Street,Downtown,3.0,1.75,Mobile App,Van,5.25,2025-01,Wednesday,0,-3,0,Clear/Cloudy,No Snow
1005,2025-01-01,Water Street,Downtown,1.0,1.75,Credit Card,Car,1.75,2025-01,Wednesday,0,-3,0,Clear/Cloudy,No Snow
1006,2025-01-01,Water Street,Downtown,1.5,1.75,Mobile App,Car,2.62,2025-01,Wednesday,0,-3,0,Clear/Cloudy,No Snow
1007,2025-01-01,Prescott Street,Downtown,1.0,1.75,Credit Card,SUV,1.75,2025-01,Wednesday,0,-3,0,Clear/Cloudy,No Snow
1008,2025-01-01,Harbour Drive,Downtown,1.5,1.75,Coin,Car,2.62,2025-01,Wednesday,0,-3,0,Clear/Cloudy,No Snow
1009,2025-01-01,Churchill Square,Churchill Square,2.0,1.0,Mobile App,Car,2.0,2025-01,Wednesday,0,-3,0,Clear/Cloudy,No Snow
1010,2025-01-01,Prescott Street,Downtown,3.0,1.75,Credit Card,Car,5.25,2025-01,Wednesday,0,-3,0,Clear/Cloudy,No Snow
1011,2025-01-01,Duckworth Street,Downtown,0.5,1.75,Credit Card,Car,0.88,2025-01,Wednesday,0,-3,0,Clear/Cloudy,No Snow
1012,2025-01-01,Prescott Street,Downtown,1.5,1.75,Mobile App,Truck,2.62,2025-01,Wednesday,0,-3,0,Clear/Cloudy,No Snow
1013,2025-01-01,Water Street,Downtown,1.0,1.75,Debit Card,Car,1.75,2025-01,Wednesday,0,-3,0,Clear/Cloudy,No Snow
1014,2025-01-01,Elizabeth Avenue,University Area,1.5,1.25,Mobile App,Van,1.88,2025-01,Wednesday,0,-3,0,Clear/Cloudy,No Snow
1015,2025-01-01,Duckworth Street,Downtown,1.5,1.75,Mobile App,Van,2.62,2025-01,Wednesday,0,-3,0,Clear/Cloudy,No Snow
1016,2025-01-01,Elizabeth Avenue,University Area,1.0,1.25,Mobile App,Car,1.25,2025-01,Wednesday,0,-3,0,Clear/Cloudy,No Snow
1017,2025-01-01,Churchill Square,Churchill Square,1.0,1.0,Debit Card,Car,1.0,2025-01,Wednesday,0,-3,0,Clear/Cloudy,No Snow
