session_id,date,street,area,hours_parked,rate_per_hour,payment_method,vehicle_type,revenue
1001,2025-01-01,Churchill Square,Churchill Square,1.0,1.0,Debit Card,SUV,1.0
1002,2025-01-01,Duckworth Street,Downtown,1.0,1.75,Mobile App,Truck,1.75
1003,2025-01-01,Prescott Street,Downtown,1.0,1.75,Credit Card,Car,1.75
1004,2025-01-01,Prescott Street,Downtown,3.0,1.75,Mobile App,Van,5.25
1005,2025-01-01,Water Street,Downtown,1.0,1.75,Credit Card,Car,1.75
1006,2025-01-01,Water Street,Downtown,1.5,1.75,mobile app,Car,2.62
1007,2025-01-01,Prescott Street,Downtown,1.0,1.75,Credit Card,SUV,1.75
1008,2025-01-01,Harbour Drive,Downtown,1.5,1.75,Coin,Car,2.62
1009,2025-01-01,Churchill Square,Churchill Square,2.0,1.0,Mobile App,Car,2.0
1010,2025-01-01,Prescott Street,Downtown,3.0,1.75,Credit Card,Car,5.25
1011,2025-01-01,Duckworth Street,Downtown,0.5,1.75,Credit Card,Car,0.88
1012,2025-01-01,Prescott Street,Downtown,1.5,1.75,Mobile App,Truck,2.62
1013,2025-01-01, Water Street ,Downtown,1.0,1.75,Debit Card,Car,1.75
1014,2025-01-01,Elizabeth Avenue,University Area,1.5,1.25,Mobile App,Van,1.88
1015,2025-01-01,Duckworth Street,Downtown,1.5,1.75,Mobile App,Van,2.62
1016,2025-01-01,Elizabeth Avenue,University Area,1.0,1.25,Mobile App,Car,1.25
1017,2025-01-01,Churchill Square,Churchill Square,1.0,1.0,Debit Card,Car,1.0
1018,2025-01-01,Prescott Street,Downtown,2.0,1.75,Mobile App,Car,3.5
1019,2025-01-01,Churchill Square,Churchill Square,0.5,1.0,Coin,SUV,0.5
1020,2025-01-02,Harbour Drive,Downtown,1.0,1.75,Credit Card,SUV,1.75
1021,2025-01-02,Harbour Drive,Downtown,,1.75,Mobile App,Car,0.88
1022,2025-01-02,Water Street,Downtown,2.0,1.75,Mobile App,Car,3.5
1023,2025-01-02,Elizabeth Avenue,University Area,1.0,1.25,Credit Card,SUV,1.25
1024,2025-01-02,Harbour Drive,Downtown,1.5,1.75,Mobile App,Van,2.62
1025,2025-01-02,Harbour Drive,Downtown,2.0,1.75,Credit Card,SUV,3.5
1026,2025-01-02,Harbour Drive,Downtown,1.5,1.75,Mobile App,Car,2.62
1027,2025-01-02,Churchill Square,Churchill Square,1.0,1.0,Debit Card,Car,1.0
1028,2025-01-02,Churchill Square,Churchill Square,1.5,1.0,Debit Card,Car,1.5
1029,2025-01-02,Churchill Square,Churchill Square,1.5,1.0,Mobile App,Van,1.5
1030,2025-01-02,Harbour Drive,Downtown,2.0,1.75,Debit Card,SUV,3.5
1031,2025-01-02,Elizabeth Avenue,University Area,2.0,1.25,Debit Card,Truck,2.5
1032,2025-01-02,Prescott Street,Downtown,1.5,1.75,Debit Card,Car,2.62
1033,2025-01-02,Prescott Street,Downtown,1.0,1.75,Debit Card,Car,1.75
1034,2025-01-02,Harbour Drive,Downtown,1.5,1.75,Debit Card,Truck,
1035,2025-01-02,Elizabeth Avenue,University Area,1.5,1.25,Mobile App,Car,1.88
1036,2025-01-02,Harbour Drive,Downtown,1.0,1.75,Mobile App,Car,1.75
1037,2025-01-02,Water Street,Downtown,1.5,1.75,Mobile App,Car,2.62
1038,2025-01-02,Prescott Street,Downtown,1.0,1.75,Credit Card,Car,1.75
1039,2025-01-02,Water Street,Downtown,3.0,1.75,Mobile App,Van,5.25
1040,2025-01-03,Churchill Square,Churchill Square,1.0,1.0,Credit Card,SUV,1.0
1041,2025-01-03,Churchill Square,Churchill Square,1.5,1.0,Coin,Car,1.5
1042,2025-01-03,Prescott Street,Downtown,0.5,1.75,Mobile App,Car,0.88
1043,2025-01-03,Elizabeth Avenue,University Area,1.0,1.25,Credit Card,SUV,1.25
1044,2025-01-03,Harbour Drive,Downtown,2.0,1.75,Debit Card,Car,3.5
1045,2025-01-03,Harbour Drive,Downtown,1.0,1.75,Mobile App,SUV,1.75
1046,2025-01-03,Harbour Drive,Downtown,1.0,1.75,Credit Card,Truck,1.75
1047,2025-01-03,Prescott Street,Downtown,2.0,1.75,Mobile App,SUV,3.5
1048,2025-01-03,Duckworth Street,Downtown,2.5,1.75,Credit Card,SUV,4.38
1049,2025-01-03,Duckworth Street,Downtown,3.0,1.75,Debit Card,Car,5.25
1050,2025-01-03,Prescott Street,Downtown,1.0,1.75,Coin,Car,1.75
1051,2025-01-03,Water Street,Downtown,1.0,1.75,Mobile App,car,1.75
1052,2025-01-03,Churchill Square,Churchill Square,2.5,1.0,Mobile App,Car,2.5
1053,2025-01-03,Harbour Drive,Downtown,2.0,1.75,Debit Card,Truck,3.5
1054,2025-01-03,Water Street,Downtown,2.0,1.75,Mobile App,Car,3.5
1055,2025-01-03,Elizabeth Avenue,University Area,2.0,1.25,Credit Card,Car,2.5
1056,2025-01-03,Water Street,Downtown,2.0,1.75,Mobile App,Car,3.5
1057,2025-01-03,Duckworth Street,Downtown,1.5,1.75,Mobile App,Van,2.62
1058,2025-01-03,Prescott Street,Downtown,2.0,1.75,Mobile App,Car,3.5
1059,2025-01-03,Prescott Street,Downtown,1.0,1.75,Debit Card,SUV,1.75
1060,2025-01-03,Water Street,Downtown,1.5,1.75,Credit Card,SUV,2.62
1061,2025-01-03,Elizabeth Avenue,University Area,1.0,1.25,Coin,Car,1.25
1062,2025-01-03,Elizabeth Avenue,University Area,2.5,1.25,Mobile App,Car,3.12
1063,2025-01-03,Water Street,Downtown,2.0,1.75,Credit Card,Car,3.5
1064,2025-01-03,Churchill Square,Churchill Square,1.5,1.0,Credit Card,SUV,1.5
